keys,tr
Welcome!,Hoş geldin!
"Welcome to Little Grand Hotel! You'll turn one small hotel into a grand empire, step by step. Let's take a quick look.","Little Grand Hotel'e hoş geldin! Küçük bir oteli adım adım koca bir imparatorluğa çevireceksin. Hadi kısa bir tur atalım."
Next,Devam
1. Start a Shift,1. Vardiya Başlat
"Tap the big button above the bar to start a shift — the hotel only runs, and only earns, during a shift.","Vardiya başlatmak için barın üstündeki büyük butona dokun — otel yalnızca vardiya sürerken çalışır ve yalnızca o sırada kazanır."
2. Welcome Your Guests,2. Misafirlerini Karşıla
"Once a shift starts, guests come through the door and ride the elevator to their rooms. As rooms fill up, income starts building.","Vardiya başlayınca misafirler kapıdan girer ve asansörle odalarına çıkar. Odalar doldukça gelir birikmeye başlar."
3. Collect From the Till,3. Kasadan Topla
"The same button now reads Collect — tap it to take what you have earned. Earnings sit in the till until you collect them.","Aynı buton artık Topla yazıyor — kazandığını almak için ona dokun. Kazanç sen toplayana kadar kasada bekler."
4. Decorate the Rooms,4. Odaları Dekore Et
"Tap a room and buy furnishings — as Style Points rise the room moves up a tier and your hotel gains stars.","Bir odaya dokun ve eşya al — Stil Puanı yükseldikçe oda bir üst seviyeye çıkar ve otelin yıldız kazanır."
5. Follow the Quests,5. Görevleri Takip Et
"Tap the quest icon — it shows your active quest, which pays out coins and gems.","Görev simgesine dokun — aktif görevini gösterir; görevler altın ve elmas kazandırır."
You're Ready!,Hazırsın!
Now open your doors and start building your grand hotel!,Şimdi kapılarını aç ve koca otelini kurmaya başla!
Start!,Başla!
Classic Red,Klasik Kırmızı
Summer Breeze,Yaz Esintisi
Golden Age,Altın Çağ
Lavender Break,Lavanta Molası
Forest Breath,Orman Nefesi
Coral Sunset,Mercan Günbatımı
Winter Tale,Kış Masalı
Cloud save restored,Bulut kaydı geri yüklendi
"No ad is ready right now, try again shortly.","Şu an hazır reklam yok, birazdan tekrar dene."
Level up! Level %d (+%s),Seviye atladın! Seviye %d (+%s)
Skip tutorial,Tanıtımı geç
The store could not be reached — try again later.,Mağazaya ulaşılamadı — sonra tekrar dene.
No earlier purchases found on this account.,Bu hesapta daha önceki bir satın alma bulunamadı.
Your purchases were restored.,Satın almaların geri yüklendi.
You turned the runaway guest back to the door! +%d coins,Kaçak misafiri kapıdan geri çevirdin! +%d altın
Profile,Profil
Me,Ben
Store,Mağaza
Shift,Vardiya
Room Shop — drag and drop onto the building,Oda Dükkânı — binanın üstüne sürükleyip bırak
✎ Build,✎ İnşa
🧹 Clean,🧹 Temizle
Build,İnşa
Staff,Personel
Quests,Görevler
✎ Build: On,✎ İnşa: Açık
🧹 Clean: On,🧹 Temizle: Açık
Cleaning mode on — tap the %s to clean.,Temizlik modu açık — %s var; temizlemek için dokun.
dirty room,kirli oda
Cleaning mode on — no dirty rooms right now.,Temizlik modu açık — şu an kirli oda yok.
Level %d,Seviye %d
%s left in the shift · %.0f coins/hour,Vardiyaya %s kaldı · saatte %.0f altın
No shift running — the hotel isn't earning.,Vardiya yok — otel kazanmıyor.
Collect,Topla
%s coins,%s altın
Running,Sürüyor
%s left,%s kaldı
Start shift,Vardiya başlat
1-24 h,1-24 sa
Theme of the week: %s,Haftanın teması: %s
· · · the street is quiet — start a shift · · ·,· · · sokak sessiz — bir vardiya başlat · · ·
Unlock block,Bloğu aç
New block unlocked!,Yeni blok açıldı!
empty block,boş blok
INFESTED! %d c,İSTİLA! %d a
DIRTY!,KİRLİ!
✦ Decorate!,✦ Süsle!
Move cancelled,Taşıma iptal edildi
That spot is taken — tap an empty cell to move there,O yer dolu — taşımak için boş bir hücreye dokun
This room is already clean.,Bu oda zaten temiz.
"Infestation cleared! (−%d coins, +2 XP)","İstila temizlendi! (−%d altın, +2 XP)"
Room cleaned (+2 XP),Oda temizlendi (+2 XP)
Clearing the infestation costs %d coins!,İstilayı temizlemek %d altın tutar!
Room Decoration,Oda Dekorasyonu
Facility,Tesis
Drag a card from the shop shelf to add a room,Oda eklemek için raftan bir kart sürükle
Room moved,Oda taşındı
The room doesn't fit here,Oda buraya sığmıyor
Unlocks at Lv.%d,Sv.%d'de açılır
Can't drop that here,Bunu buraya bırakamazsın
%s placed!,%s yerleştirildi!
"It doesn't fit here, your level is too low, or you can't afford it","Buraya sığmıyor, seviyen yetmiyor ya da paran yetmiyor"
You are out of nudges for today — try again tomorrow!,Bugünlük dürtme hakkın bitti — yarın tekrar dene!
A secret inspector! +%d coins (%s left),Gizli müfettiş! +%d altın (%s kaldı)
The guest yawned and went back to sleep… (%s left),Misafir esneyip tekrar uyudu… (%s kaldı)
+%s coins collected,+%s altın toplandı
Rename your hotel,Otelini yeniden adlandır
"Up to %d characters, so it fits the sign in the lobby.","En fazla %d karakter, lobideki tabelaya sığsın diye."
Hotel name…,Otel adı…
Cancel,Vazgeç
Save,Kaydet
Shift in progress — %s left.,Vardiya sürüyor — %s kaldı.
You can collect your earnings whenever you like.,Kazancını istediğin an toplayabilirsin.
Finish now — %s,Şimdi bitir — %s
Ends the shift immediately and banks the earnings.,Vardiyayı hemen bitirir ve kazancı kasaya yazar.
Tap again to finish anyway,Yine de bitirmek için tekrar dokun
No Housekeeping room — some rooms may not pay full rate.,Kat Hizmetleri odası yok — bazı odalar tam gelir vermeyebilir.
Shift finished with gems — the earnings are in the till!,Vardiya elmasla bitirildi — kazanç kasada!
"You have a Housekeeping room — you'll earn full rate to the end of the shift, as if guests never stopped coming.","Kat Hizmetleri odan var — vardiya sonuna kadar, misafir akışı hiç kesilmemiş gibi tam gelir alırsın."
No Housekeeping room — rooms left dirty earn nothing for this stretch.,Kat Hizmetleri odası yok — kirli kalan odalar bu süre boyunca hiç kazandırmaz.
Ad bonus active,Reklam bonusu etkin
Income ×%.1f · %d min left,Gelir ×%.1f · %d dk kaldı
Watch an ad — ×2 income,Reklam izle — ×2 gelir
For the next 30 minutes,Önümüzdeki 30 dakika boyunca
Watch,İzle
Ad bonus started: ×2 income for 30 min!,Reklam bonusu başladı: 30 dk boyunca ×2 gelir!
Start a shift,Vardiya başlat
Pick a length — the hourly cost is the same for all:,Bir süre seç — saatlik maliyet hepsinde aynı:
cost %s · est. income ~%s,maliyet %s · tahmini gelir ~%s
A %d-hour shift has started!,%d saatlik vardiya başladı!
Note: rooms left dirty earn nothing. On a long shift a Housekeeping room is a must!,Not: kirli kalan odalar hiç kazandırmaz. Uzun vardiyada Kat Hizmetleri odası şart!
Auto-renew · balance %s,Otomatik yenileme · bakiye %s
"While you have hours banked, a finished shift renews itself for the same length if you can afford it, spending that many hours from your balance — so the hotel keeps earning while you are away.","Bankanda saat varken biten vardiya, paran yetiyorsa aynı süreyle kendini yeniler ve o kadar saati bakiyenden düşer — böylece sen yokken de otel kazanmaya devam eder."
Buy %s of auto-renew,%s otomatik yenileme al
Bought %s of auto-renew!,%s otomatik yenileme alındı!
Housekeeping,Kat Hizmetleri
gem,elmas
hour,saat
minute,dakika
day,gün
room,oda
nudge,dürtme hakkı
time,kez
Cleaning mode,Temizlik modu
Tap dirty rooms one by one to clean them. %s right now.,Temizlemek için kirli odalara tek tek dokun. Şu an %s var.
Staff tier: %d / %d,Personel kademesi: %d / %d
Shift cost: %%%.0f cheaper · Income per hour: +%%%.0f,Vardiya maliyeti: %%%.0f daha ucuz · Saatlik gelir: +%%%.0f
Your staff is at the top tier — no upgrades left.,Personelin en üst kademede — yükseltecek bir şey kalmadı.
Upgrade tier — %s coins,Kademeyi yükselt — %s altın
"Next: -%%%.0f cost, +%%%.0f income","Sonraki: -%%%.0f maliyet, +%%%.0f gelir"
Staff quality upgraded! (Tier %d),Personel kalitesi yükseldi! (Kademe %d)
This room is dirty — it earns nothing until it's cleaned.,Bu oda kirli — temizlenene kadar hiç kazandırmaz.
Clean this room,Bu odayı temizle
 — %s coins, — %s altın
Or open Cleaning mode in Staff to clear several rooms in a row.,Ya da Personel'den Temizlik modunu açıp birkaç odayı arka arkaya temizle.
"Infestation cleared! (−%s coins, +2 XP)","İstila temizlendi! (−%s altın, +2 XP)"
Clearing the infestation costs %s coins!,İstilayı temizlemek %s altın tutar!
%s — %s · SP %d · %d items,%s — %s · SP %d · %d eşya
Next tier (%s): SP %d,Sonraki seviye (%s): SP %d
Ready-made bundles,Hazır setler
unlocks at level %d,seviye %d'de açılır
SP +%d · %%%d off,SP +%d · %%%d indirim
Wallpaper,Duvar kâğıdı
Floor,Zemin
Bed,Yatak
✓ owned,✓ sende
%s upgraded!,%s yükseltildi!
Add a decoration,Dekorasyon ekle
SP +%d,SP +%d
owned ✓,sende ✓
%s placed (+%d SP),%s yerleştirildi (+%d SP)
Cleans dirty rooms by itself — income never stops.,Kirli odaları kendi temizler — gelir hiç durmaz.
+%d coins/hour base income · adds to star variety,Saatte +%d altın temel gelir · yıldız çeşitliliğine katkı
Manage,Yönet
Turn on Build Mode first to move or sell.,Taşımak ya da satmak için önce İnşa Modu'nu aç.
Move room,Odayı taşı
Pick an empty block for it,Ona boş bir blok seç
Tap an empty cell — tap your room again to cancel,Boş bir hücreye dokun — vazgeçmek için odana tekrar dokun
Sell — +%s coins,Sat — +%s altın
Everything placed in it is gone for good,İçindeki her şey kalıcı olarak gider
Tap again to sell,Satmak için tekrar dokun
Are you sure?,Emin misin?
Room sold — the refund is in the till,Oda satıldı — iade kasada
You can't sell your last room!,Son odanı satamazsın!
Total income collected,Toplanan toplam gelir
Collections,Toplama
Rooms cleaned,Temizlenen oda
Shifts started,Başlatılan vardiya
Rooms,Oda
%s (%d / %d blocks used),%s (%d / %d blok kullanıldı)
Facility variety,Tesis çeşitliliği
Star rating,Yıldız puanı
Level,Seviye
%d (XP %s),%d (XP %s)
Income per hour (now),Saatlik gelir (şu an)
%.0f coins,%.0f altın
Prestige multiplier,Prestij çarpanı
×%.2f (prestige %d),×%.2f (prestij %d)
Daily login streak,Günlük giriş serisi
Shift history (last %d),Vardiya geçmişi (son %d)
No shift has been started yet.,Henüz hiç vardiya başlatılmadı.
%02d.%02d %02d:%02d — %dh,%02d.%02d %02d:%02d — %d sa
Account,Hesap
Prestige,Prestij
Stats,İstatistik
⚙ Settings,⚙ Ayarlar
Move your save,Kaydını taşı
A shareable code instead of the cloud.,Bulut yerine paylaşılabilir bir kod.
Hide code,Kodu gizle
Show code,Kodu göster
Copy code to clipboard,Kodu panoya kopyala
Save code copied to the clipboard,Kayıt kodu panoya kopyalandı
Paste another save code here…,Başka bir kayıt kodunu buraya yapıştır…
Import a save code,Kayıt kodu içe aktar
Overwrites your current save,Mevcut kaydının üzerine yazar
Tap again to overwrite,Üzerine yazmak için tekrar dokun
Save imported!,Kayıt içe aktarıldı!
Invalid code — check it and try again,Geçersiz kod — kontrol edip tekrar dene
Prestige — multiplier ×%.2f (round %d),Prestij — çarpan ×%.2f (%d. tur)
Prestige requires level %d (you are %d).,Prestij için seviye %d gerekir (sen %d'sin).
Level %d of %d,Seviye %d / %d
Prestige the hotel,Oteli prestije gönder
New multiplier ×%.2f,Yeni çarpan ×%.2f
Prestiged! New income multiplier: ×%.2f,Prestij yapıldı! Yeni gelir çarpanı: ×%.2f
Tap again to prestige,Prestij için tekrar dokun
Progress will be reset,İlerlemen sıfırlanacak
"Prestige resets your coins, rooms, quests and achievements; the multiplier is permanent.","Prestij altınlarını, odalarını, görevlerini ve başarımlarını sıfırlar; çarpan ise kalıcıdır."
Cloud save is not enabled in this build — for now you can move your save to another device with the code below.,Bu sürümde bulut kaydı kapalı — şimdilik kaydını aşağıdaki kodla başka bir cihaza taşıyabilirsin.
Link with Google — unavailable in this build,Google ile bağla — bu sürümde kullanılamıyor
The cloud holds different progress than this device. You decide which one to keep.,Bulutta bu cihazdakinden farklı bir ilerleme var. Hangisinin kalacağına sen karar ver.
Choose a save,Bir kayıt seç
Cloud / This device,Bulut / Bu cihaz
Linked to this device (anonymous),Bu cihaza bağlı (anonim)
Linked to a Google account,Bir Google hesabına bağlı
Last backup: %s,Son yedek: %s
Back up now,Şimdi yedekle
Your account is linked,Hesabın bağlı
Disconnect account,Hesabı ayır
Your progress stays on this device,İlerlemen bu cihazda kalır
Tap again to disconnect,Ayırmak için tekrar dokun
Backups will stop,Yedekleme duracak
"Disconnecting leaves the cloud copy on that Google account — sign in again to get it back. This device keeps playing, but it starts a fresh backup.","Ayırınca buluttaki kopya o Google hesabında kalır — geri almak için tekrar giriş yap. Bu cihazda oynamaya devam edersin ama yedekleme sıfırdan başlar."
"Account linking isn't set up in this build. Your save is still backed up to the cloud, but you need a linked account to open it on a new device.","Bu sürümde hesap bağlama kurulu değil. Kaydın yine buluta yedekleniyor ama yeni bir cihazda açmak için bağlı bir hesap gerekiyor."
Link with Google,Google ile bağla
Waiting for your browser…,Tarayıcın bekleniyor…
"Opening your browser — sign in there, then come back to the game.","Tarayıcın açılıyor — orada giriş yap, sonra oyuna geri dön."
"Linking opens your browser. Sign in with Google there, then switch back to the game — closing this screen cancels it.","Bağlama tarayıcını açar. Orada Google ile giriş yap, sonra oyuna geri geç — bu ekranı kapatmak işlemi iptal eder."
not yet,henüz yok
The cloud holds different progress — pick which one to keep,Bulutta farklı bir ilerleme var — hangisinin kalacağını seç
The cloud save comes from a newer version — update the game first,Bulut kaydı daha yeni bir sürümden — önce oyunu güncelle
Could not reach the cloud — check your connection and try again,Buluta ulaşılamadı — bağlantını kontrol edip tekrar dene
Your save is backed up to the cloud,Kaydın buluta yedeklendi
just now,az önce
now,şimdi
%s ago,%s önce
Which save should continue?,Hangi kayıt devam etsin?
"There are two different saves, one in the cloud and one on this device. They are never merged automatically — pick one and the other stays as it is.","Biri bulutta biri bu cihazda olmak üzere iki farklı kayıt var. Bunlar asla kendiliğinden birleştirilmez — birini seç, diğeri olduğu gibi kalır."
Cloud,Bulut
time unknown,zamanı bilinmiyor
Use this one,Bunu kullan
This device,Bu cihaz
Cloud save loaded,Bulut kaydı yüklendi
The cloud save could not be read; this device's save was kept,Bulut kaydı okunamadı; bu cihazın kaydı korundu
Kept this device's save and uploading it to the cloud,Bu cihazın kaydı korundu ve buluta yükleniyor
Gems,Elmas
Premium,Premium
Remove Ads,Reklamları Kaldır
Owned — thank you!,Sende — teşekkürler!
One-time purchase,Tek seferlik satın alma
Ads removed!,Reklamlar kaldırıldı!
Double Your Earnings,Kazancını İkiye Katla
Active — income ×%.1f,Etkin — gelir ×%.1f
"Permanent ×2, offline included","Kalıcı ×2, çevrimdışı dahil"
Earnings doubled!,Kazanç ikiye katlandı!
Restore purchases,Satın almaları geri yükle
Brings back Remove Ads and ×2 on a new device,Yeni bir cihazda Reklamları Kaldır ve ×2'yi geri getirir
Restore,Geri yükle
Checking the store for your earlier purchases…,Önceki satın almaların için mağaza kontrol ediliyor…
The store is not reachable right now — try again later.,Mağazaya şu an ulaşılamıyor — sonra tekrar dene.
No offers right now — check back later.,Şu an teklif yok — sonra tekrar bak.
Choose a room,Bir oda seç
"Pick a set, then pick the room it goes into.","Önce bir set seç, sonra gideceği odayı seç."
That set is no longer available.,O set artık mevcut değil.
%s — %s coins,%s — %s altın
Which room should it decorate?,Hangi odayı dekore etsin?
You have no rooms yet — build one first.,Henüz odan yok — önce bir tane inşa et.
Not enough coins for that set,O set için altının yetmiyor
%s · Lv.%d,%s · Sv.%d
%s built!,%s inşa edildi!
"Build Mode is a canvas tool, not a tab: the hotel stays visible, empty blocks light up, and this tray is what you place from.","İnşa Modu bir sekme değil, tuval aracıdır: otel görünür kalır, boş bloklar yanar ve yerleştirmeyi bu raftan yaparsın."
Blocks used: %d / %d · floors %d,Kullanılan blok: %d / %d · kat %d
Empty blocks: from %s coins each — widen a floor in Build Mode.,Boş bloklar: tanesi %s altından başlar — İnşa Modu'nda bir katı genişlet.
Guest rooms,Misafir odaları
Facilities,Tesisler
Unlock a new floor — %s coins,Yeni kat aç — %s altın
New floor unlocked!,Yeni kat açıldı!
Decor sets,Dekor setleri
✎ Open Build Mode,✎ İnşa Modu'nu aç
Place rooms yourself,Odaları kendin yerleştir
Build Mode is on — drag a room from the shelf onto the building,İnşa Modu açık — raftan bir odayı binanın üstüne sürükle
Prices are set in the store (Play Console) — the ones below are suggestions.,Fiyatlar mağazada (Play Console) belirlenir — aşağıdakiler örnektir.
%s added!,%s eklendi!
"One-time purchases, no ads or timers involved","Tek seferlik satın alma; reklam ya da sayaç yok"
Sound effects: %s,Ses efektleri: %s
On,Açık
Off,Kapalı
Lobby music: %s,Lobi müziği: %s
Language: %s,Dil: %s
System,Sistem
Support & legal,Destek ve yasal
Privacy policy,Gizlilik politikası
Ad preferences,Reklam tercihleri
Opening your ad preferences…,Reklam tercihlerin açılıyor…
Contact support,Destekle iletişime geç
Danger zone,Tehlikeli bölge
Delete account data,Hesap verilerini sil
